epoch: 0	train ppl: 103383.58471432725	val ppl: 2415.30226393661	best val: 2415.30226393661	time (s) spent in epoch: 39.82709217071533
epoch: 1	train ppl: 5865.605922379857	val ppl: 1678.930797656054	best val: 1678.930797656054	time (s) spent in epoch: 40.30822420120239
epoch: 2	train ppl: 967.7067960606474	val ppl: 1446.104463616603	best val: 1446.104463616603	time (s) spent in epoch: 40.28751587867737
epoch: 3	train ppl: 831.9755052627175	val ppl: 680.4121789362466	best val: 680.4121789362466	time (s) spent in epoch: 40.43994355201721
epoch: 4	train ppl: 640.6142800357678	val ppl: 670.2826902851956	best val: 670.2826902851956	time (s) spent in epoch: 40.236098289489746
epoch: 5	train ppl: 505.3952422122864	val ppl: 505.84496745278034	best val: 505.84496745278034	time (s) spent in epoch: 40.43953204154968
epoch: 6	train ppl: 429.09889584413173	val ppl: 385.8449611235084	best val: 385.8449611235084	time (s) spent in epoch: 40.34730887413025
epoch: 7	train ppl: 363.79051861107325	val ppl: 332.3743906685068	best val: 332.3743906685068	time (s) spent in epoch: 43.29252791404724
epoch: 8	train ppl: 312.6974043682049	val ppl: 338.1986659823597	best val: 332.3743906685068	time (s) spent in epoch: 41.231149673461914
epoch: 9	train ppl: 267.93372944299864	val ppl: 296.05304513055927	best val: 296.05304513055927	time (s) spent in epoch: 40.460495471954346
epoch: 10	train ppl: 234.20034540048673	val ppl: 269.5696481793479	best val: 269.5696481793479	time (s) spent in epoch: 40.52245497703552
epoch: 11	train ppl: 207.30157448179733	val ppl: 238.27025150434284	best val: 238.27025150434284	time (s) spent in epoch: 40.79283785820007
epoch: 12	train ppl: 190.10039382270838	val ppl: 241.53236373226196	best val: 238.27025150434284	time (s) spent in epoch: 39.92859625816345
epoch: 13	train ppl: 168.4011697996894	val ppl: 219.18721440908305	best val: 219.18721440908305	time (s) spent in epoch: 40.113768577575684
epoch: 14	train ppl: 152.87617205013734	val ppl: 196.67747791382317	best val: 196.67747791382317	time (s) spent in epoch: 40.1700177192688
epoch: 15	train ppl: 119.67138259362694	val ppl: 195.38484683026954	best val: 195.38484683026954	time (s) spent in epoch: 40.67875099182129
epoch: 16	train ppl: 96.50038154100254	val ppl: 159.61960939292544	best val: 159.61960939292544	time (s) spent in epoch: 43.20410108566284
epoch: 17	train ppl: 79.0013656619009	val ppl: 151.5090847709521	best val: 151.5090847709521	time (s) spent in epoch: 41.5991907119751
epoch: 18	train ppl: 67.85706030062286	val ppl: 152.94255256493668	best val: 151.5090847709521	time (s) spent in epoch: 39.81715440750122
epoch: 19	train ppl: 61.11527591731939	val ppl: 154.87297748925246	best val: 151.5090847709521	time (s) spent in epoch: 40.126099586486816
epoch: 20	train ppl: 57.53354252908617	val ppl: 155.32867762406212	best val: 151.5090847709521	time (s) spent in epoch: 39.99495029449463
epoch: 21	train ppl: 55.83714159263471	val ppl: 154.54384954498238	best val: 151.5090847709521	time (s) spent in epoch: 40.26259660720825
epoch: 22	train ppl: 55.152551997786226	val ppl: 153.64231769258893	best val: 151.5090847709521	time (s) spent in epoch: 40.197152853012085
epoch: 23	train ppl: 54.945907219864964	val ppl: 153.2640451585437	best val: 151.5090847709521	time (s) spent in epoch: 40.25642442703247
epoch: 24	train ppl: 54.82926567239694	val ppl: 153.18077258878463	best val: 151.5090847709521	time (s) spent in epoch: 41.81527376174927
epoch: 25	train ppl: 54.79825245246774	val ppl: 153.1626683025139	best val: 151.5090847709521	time (s) spent in epoch: 41.90620279312134
epoch: 26	train ppl: 54.81656805138032	val ppl: 153.15938638796214	best val: 151.5090847709521	time (s) spent in epoch: 41.6541690826416
epoch: 27	train ppl: 54.770447573178686	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 39.93292021751404
epoch: 28	train ppl: 54.766622825677466	val ppl: 153.15895276056204	best val: 151.5090847709521	time (s) spent in epoch: 40.11741352081299
epoch: 29	train ppl: 54.81139645598542	val ppl: 153.15894819606964	best val: 151.5090847709521	time (s) spent in epoch: 40.19483780860901
epoch: 30	train ppl: 54.775077911304535	val ppl: 153.15894819606964	best val: 151.5090847709521	time (s) spent in epoch: 40.1436243057251
epoch: 31	train ppl: 54.79075931717318	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 39.97164058685303
epoch: 32	train ppl: 54.798163838289305	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 40.20447516441345
epoch: 33	train ppl: 54.80378020289171	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 42.32355237007141
epoch: 34	train ppl: 54.878823163905025	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 41.56786370277405
epoch: 35	train ppl: 54.87304066190319	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 41.330469369888306
epoch: 36	train ppl: 54.76229469588512	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 39.60820293426514
epoch: 37	train ppl: 54.805578323672975	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 40.05180907249451
epoch: 38	train ppl: 54.77222113247008	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 40.17180371284485
epoch: 39	train ppl: 54.81138780707996	val ppl: 153.1589710185331	best val: 151.5090847709521	time (s) spent in epoch: 40.11749053001404
