,G_loss,D_loss,D_fake,D_real,GP,val_G_loss,val_D_loss,val_D_fake,val_D_real,val_GP
0,284.6484036769682,-478.2871908030735,-283.9822454055681,-208.57353935904843,14.268593961542964,958.2381474009732,-15.132351523951481,-958.3484159770765,943.216064453125,0.0
1,1678.1878973210898,-3116.2676981146765,-1678.4829343036538,-1514.5228009270236,76.73803711600095,2774.8282577782347,60.253981205455034,-2775.048956620066,2835.3029378255214,0.0
2,3480.504287275296,-6730.704893260239,-3482.9494121662624,-3389.707575027688,141.95209393371078,4995.448726185581,78.26334207099781,-4995.555030153509,5073.818372224507,0.0
3,6174.702067847391,-11411.001395631994,-6175.608296040656,-5776.884152014279,541.4910524229401,8002.0056709155715,-47.59070466694079,-7999.237810101426,7951.647105434485,0.0
4,8577.50357677867,-16953.392573583238,-8579.477836771845,-8386.952266478307,13.037529666909895,10421.968390213817,441.9729646381578,-10423.500316954496,10865.473281592653,0.0
5,11591.820601676274,-22898.139634050898,-11595.300628602852,-11308.520942050971,5.681936602916533,14155.649713884319,95.31872772752192,-14155.565738075658,14250.884465803181,0.0
6,13749.05419921875,-27231.5208366938,-13751.803660213138,-14511.946207050212,1032.2290305695487,18060.130807976973,-249.4091282894737,-18064.341659813595,17814.932531524122,0.0
7,18668.61217195085,-36865.44016511926,-18672.897002047936,-18200.16867889108,7.625515819753258,22421.41017338268,-15.811043722587721,-22419.49460320724,22403.68355948465,0.0
8,22818.359166413837,-44412.62305992744,-22812.742421685376,-22876.07742623635,1276.19678799429,21975.53553316886,-1915.3524533991226,-21981.27681263706,20065.92435923794,0.0
9,26536.048069629855,-53924.18015590061,-26548.325049302184,-27542.925694023066,167.07058742463008,33840.68188048246,-279.1066337719298,-33836.14915707237,33557.042523300435,0.0
10,34253.9318207676,-67487.10802323633,-34260.42374658677,-33234.077214805824,7.392938156266815,40531.182325932015,-57.875685307017534,-40525.79588130482,40467.92019599781,0.0
11,38561.4475310983,-75592.05274483023,-38530.84146503337,-39842.42568643811,2781.214406641247,33439.45154879386,-3012.601219846492,-33456.293105811405,30443.691885964912,0.0
12,39538.85406553398,-84219.50010551713,-39561.9018829642,-45351.84727700241,694.2490544495073,54394.24605948465,-110.84957510964912,-54402.576308936405,54291.726733826756,0.0
