,G_loss,D_loss,D_fake,D_real,GP,val_G_loss,val_D_loss,val_D_fake,val_D_real,val_GP
2,431.91640583519796,-0.9838505518957248,-431.72341278965035,429.3301357232251,1.4094265145294875,423.8531984028064,4.5310216535601695,-424.32709061472036,428.8581122682807,0.0
3,427.5387151032975,-0.3224593610150143,-427.34369094996765,426.4916021847029,0.5296294042497005,423.2105442515592,3.044229072436951,-423.4041100217585,426.4483390941954,0.0
4,424.55073917722234,-0.6596238471278287,-424.31701571270105,423.32546490419264,0.3319269613805905,421.5641316196375,1.15992790356017,-421.78528983132884,422.94521773488884,0.0
5,421.1089567906648,-0.9281665383105718,-420.8943431965357,419.7046962404713,0.2614804177535969,419.7480899743866,-0.8841365345737391,-419.6588118703742,418.77467533580045,0.0
6,417.3732599054725,-1.0796561173733,-417.1497931323005,415.80041714270135,0.2697198722258355,414.1128984417832,-1.169818543551261,-414.03920304147834,412.8693844979269,0.0
7,412.62279606791367,-1.113722125882084,-412.4413741917286,411.0540907480183,0.27356131782809506,407.9492166084156,-0.6637822201377467,-407.76057889168715,407.0967966715496,0.0
8,405.84669835359153,-1.151726373422493,-405.6890388562841,404.2602381734015,0.27707430946016776,401.41521547551736,-3.2672349360951207,-401.56239934553184,398.2951644094367,0.0
9,395.2704909241315,-1.2465147307486208,-395.0537957645157,393.5075460489513,0.2997349848156994,387.7097109075178,-2.03741160610266,-387.6157103421396,385.5782987360369,0.0
10,383.68781569397566,-1.3329564829293674,-383.5606931223453,381.91907401964517,0.3086626197708753,375.5824303877982,-2.18617944550096,-375.8843402527926,373.69816080729174,0.0
11,368.7767308799967,-1.3842658875709022,-368.6129228906724,366.9094401239191,0.3192168791823595,364.51020598829837,-2.4980974699321545,-364.45492687559965,361.95682940566735,0.0
12,353.13585329518736,-1.4443263576158043,-352.9878131162773,351.24274306806547,0.3007436905960435,342.82949882641174,-3.7893395674856087,-342.82839323344984,339.0390536659642,0.0
13,337.57132091337036,-1.4142454738104806,-337.35286628204636,335.6617602894607,0.2768605187752293,328.8935153358861,-2.8419574938322367,-328.8653063857765,326.02334889194424,0.0
14,321.17191514691103,-1.4194405923045954,-320.9839161400656,319.29821146252084,0.26626408524015577,317.3719281648335,-3.674093413771245,-316.8336620665433,313.15956865277207,0.0
15,306.2618680787318,-1.450924815338792,-306.0260304571356,304.31200881513575,0.2630968266609803,300.2217629415947,-2.820858068633498,-300.16313653243213,297.34227846379866,0.0
16,293.5835448329889,-1.5014705196891016,-293.34000027850993,291.5747495484584,0.2637802103624761,290.3737822415536,-3.9249993039850612,-290.399145025956,286.47414572197096,0.0
