,loss,recon_loss,KLD,val_loss,val_recon_loss,val_KLD
0,138.57832696007478,109.17821875331785,29.400107933662714,100.3143838751749,68.72316532619267,31.591218715608363
1,102.09166476037686,70.3155894114799,31.776075211887,91.39891338426494,59.68903809260254,31.70987542496332
2,96.21150652825018,63.7406100488816,32.4708965682399,88.38442790713299,56.667831749985076,31.716595773907784
3,92.87123354458643,59.87954319075056,32.99169026311302,86.31741213870121,53.350855905177184,32.966556000247415
4,89.55824031616623,56.24294846067765,33.31529192214209,85.7237991053909,52.155833801219536,33.56796518753306
5,87.14354601514036,53.65357642112943,33.48996960141687,83.52202844268274,50.821268434183466,32.700759708572214
6,85.4734427019346,51.93357470191374,33.539867970397076,84.2692418537145,50.67007480447422,33.599167049240286
7,84.40605443125436,50.86674159185479,33.539313002330324,82.21137472699972,49.71303495656523,32.498339670458805
8,83.56099266094716,49.98476113107358,33.576231655774606,80.68636007722922,47.98965638223451,32.69670404490961
9,82.58215218905467,49.01066235143085,33.571489782079226,80.84676879916138,48.496112112200976,32.350657086863144
10,82.13487412206986,48.62063942870317,33.514234663742926,82.29753810539944,49.44810605394102,32.84943220142195
11,81.48913651796006,47.99740014359235,33.491736378070684,81.51998427315809,48.47735734002824,33.04262689980463
12,80.98476358244082,47.53273301793495,33.45203047193159,78.73142431760596,45.92220471981214,32.80921971443212
13,80.44985891233591,47.03886061768768,33.41099839647996,79.28566179371843,46.39626782766431,32.88939399937935
14,80.12717987276707,46.70234701676161,33.4248328523025,79.21097689042027,46.39191445307168,32.81906240402334
15,79.77129464954366,46.38638295342029,33.384911705380794,77.76820877162675,45.07547561099807,32.692733610519255
16,79.32350787571713,45.97249568174257,33.351012077330964,78.53975746431801,46.087516149405786,32.452241248261764
17,79.09003486777371,45.72494721562007,33.36508758179716,78.1268537491682,45.705598665071314,32.42125521739779
18,78.77601901188599,45.44127002878128,33.33474890349084,77.50116511664363,45.413001924598596,32.08816287545535
19,78.56002186027106,45.21914134115472,33.340880513561885,77.52767846859643,45.00496362617945,32.522715208994505
20,78.3450595114945,44.98728864622674,33.35777077084198,77.45916319817687,44.53900811322686,32.92015483501079
21,78.04203558632794,44.71592978715437,33.326105786213176,77.26989936047553,44.86069134653119,32.4092079639565
22,77.92651688235144,44.61786684347912,33.30865001110003,76.86783820841437,44.491264857719926,32.37657363395889
23,77.5866819972656,44.32167869288181,33.265003267354075,76.59616667893035,43.676831294629146,32.91933586751702
24,77.47322004965419,44.17131604012979,33.30190410209869,76.59009102319649,43.54120894465133,33.04888206188255
25,77.18400950484694,43.905230671880204,33.27877882185779,76.69933065611777,43.80306232857502,32.89626807760353
26,77.10681167711083,43.828287923347425,33.27852371673369,76.34055377732136,43.737703323884965,32.602850353460695
27,76.90211465454887,43.668926938354595,33.23318792911517,77.08184756133973,44.570991201606425,32.510856443046386
28,76.71593036111499,43.48073669332688,33.23519370852079,76.07433145592326,43.32421835009725,32.75011268926064
29,76.58702812883924,43.337767253092956,33.24926088870668,76.37864851268172,43.50582831588691,32.872820296770485
30,76.39017885856758,43.15314649130696,33.237032370963576,76.55999334295231,43.968082229068564,32.59191134716037
31,76.17337305940586,42.986712645280896,33.18666049188735,76.05067787514076,43.734942195391405,32.315735546448444
32,76.19137130505638,42.972059749403016,33.21931162045536,77.7245614533212,45.53471019181468,32.18985154477098
33,76.07598408249486,42.881013829651216,33.194970247289184,75.85154996971403,43.3285974517664,32.522952534610255
34,75.81941322222167,42.60536619990265,33.21404716488343,75.99226874690741,43.10465288175249,32.887616231732444
