,loss,recon_loss,KLD,val_loss,val_recon_loss,val_KLD
0,149.24677109017142,118.75658583138764,30.490185503527087,104.15608897249523,72.99946239741162,31.156626408457466
1,114.89003258378077,82.69254074053866,32.197491826578755,96.8244616242663,64.38902352281258,32.43543855134431
2,109.13132673446009,76.32730748753906,32.80401919878239,92.6453663135792,60.95964411455135,31.685722015739106
3,106.885665861848,73.6836833433995,33.20198254992376,91.07853116788664,58.346198837776,32.732332196809736
4,103.99890479428778,70.61036766302081,33.38853714237588,91.37650156815195,58.63318327649382,32.743318508272125
5,103.04903332887793,69.60000867013787,33.4490246272648,89.67037496480856,57.334850264415685,32.33552478370593
6,102.47266117495232,68.92171936039784,33.55094174790098,89.94184314374745,57.320538278424024,32.62130478201035
7,100.84339368525428,67.30747108304989,33.53592273921434,88.74388548704954,56.08179717359405,32.662088446756414
8,100.20990780726251,66.60010347732145,33.60980440585197,87.0391870030542,53.244896607811654,33.794290328592076
9,99.84834583960172,66.23153799047489,33.61680768434459,86.71588776276276,54.36954502664953,32.34634306936553
10,99.13027926005265,65.51017667707289,33.62010268851444,89.07560814543238,55.94327636185546,33.13233195020305
11,98.45932838847384,64.81715702380258,33.642171366522746,87.10968399151993,53.383763768651455,33.72592000625448
12,98.22427457451971,64.53552331076949,33.68875120079964,85.99798582318114,52.533091785411116,33.46489418773354
13,97.91609701631724,64.22598987246134,33.69010718829155,84.2739440434753,51.58683134928252,32.68711264420493
14,96.51418791372562,62.907751103248565,33.60643686046717,85.20376217837155,51.7759375586524,33.427824819670526
15,96.4097730887097,62.81273488319583,33.59703816478117,85.3000478950186,51.089700351541175,34.21034764345311
16,97.03181200000995,63.39921211723715,33.63259990869361,86.08442853364728,52.919638877158405,33.16478965648888
17,96.1288067659632,62.47547462617168,33.65333214719745,84.22537685501554,50.6786250583858,33.54675207989417
18,95.86534597516012,62.17733810518999,33.688007819979994,83.53174501294619,50.85204291649604,32.67970209645014
19,95.51194500156888,61.85748743611339,33.65445762655454,83.25455769156942,50.09552706781711,33.15903057376446
20,94.98210566343744,61.35581382622671,33.62629192608205,83.94659605450622,50.24417398355386,33.702422054289734
21,95.52887840957779,61.832474891926545,33.69640343618589,83.40176129165387,49.79500342183448,33.60675808643338
22,94.8896543622547,61.20774407574893,33.681910293911685,85.12644904759163,51.99066760297229,33.135781411294104
23,94.72064411444352,61.058315201362284,33.662328953813926,83.70311786840107,50.31435681508922,33.3887610199866
24,94.06140717159559,60.41253791991106,33.64886937573408,82.45041485910626,48.96965048100303,33.48076392821266
25,94.53148379822514,60.86390049424896,33.6675832225108,81.89144406746945,48.87662577127911,33.01481829619037
26,93.94342789478772,60.28203585945914,33.661392050140485,81.90154114519348,48.39001874744061,33.51152236442764
27,93.61639734509373,59.92157643680039,33.69482084534281,84.44614509751229,51.96025836516559,32.48588678233454
28,94.08517885738264,60.43226830832139,33.652910584239464,83.6895593658289,50.0320881961507,33.657471153015585
29,93.69708834152846,60.041518988453596,33.655569308639194,82.18255680218572,48.188447869478146,33.99410893270757
30,93.71705152095562,60.065935628221894,33.65111575757528,81.91255546651054,47.98029615864088,33.932259324532275
31,93.45000146933916,59.7923193598587,33.65768209466857,81.99858474419021,48.52346952554472,33.47511501869412
32,93.0633088919429,59.3910209698693,33.672287870232,81.64968966214083,48.369719550871885,33.27997031122031
33,93.18044871247973,59.503188310447186,33.67726036500281,81.52857891627423,48.362811930805094,33.165766635554235
34,92.93642130954142,59.245118468728194,33.6913028037835,81.76560213889316,48.87385474519264,32.89174714376131
